e48338c6-5f00-45a1-8aca-1fd5936502b6,Panama,809445a9-374c-4c69-80f7-5e000636d670
73025742-5083-4eb2-8d1a-407c78a9ce27,Cook Islands,42ef87ad-3964-4418-aaa4-eaa4498b0959
ef7726ce-b742-471e-ae2b-1eac6b24aec1,Kiribati,42ef87ad-3964-4418-aaa4-eaa4498b0959
c2fb0519-9259-403d-a675-6ea8ebe9a1f6,Switzerland,42ef87ad-3964-4418-aaa4-eaa4498b0959
0f9f519c-f347-4b05-b05c-50811c53e877,Taiwan,3d57f658-7a4e-4845-81fb-b70459eaa9fa
d25d0515-d3d0-4b6a-86b6-007ff12ae3da,Zimbabwe,42ef87ad-3964-4418-aaa4-eaa4498b0959
3664546b-a294-485c-bbc2-68cb169d5370,Guam,809445a9-374c-4c69-80f7-5e000636d670
cffde072-1667-4579-8b24-7105f0b28849,Chad,809445a9-374c-4c69-80f7-5e000636d670
eba7a940-854c-48ff-b353-c3d104330bec,Antigua and Barbuda,42ef87ad-3964-4418-aaa4-eaa4498b0959
1e29728c-17b9-4d7c-ad7e-a1b0b150c2f5,Guinea-Bissau,809445a9-374c-4c69-80f7-5e000636d670
73c6610e-aafd-42ce-ad39-0edbea39ae7b,Holy See (Vatican City State),42ef87ad-3964-4418-aaa4-eaa4498b0959
a9597c62-f5c6-4068-a8a1-afb4191164a9,Austria,3d57f658-7a4e-4845-81fb-b70459eaa9fa
4a30aeb7-1ec3-4ba6-923f-2b572e0b69e0,Tuvalu,9d9ff55c-74dd-450b-a793-8e8162815afd
5589417d-0b19-44aa-a26c-0eb8ddff7628,Rwanda,9d9ff55c-74dd-450b-a793-8e8162815afd
2c496042-cdd1-4667-941e-5b946c510fc2,Central African Republic,809445a9-374c-4c69-80f7-5e000636d670
329bbf5d-9397-4eb1-b533-3d62e0453e76,Brazil,42ef87ad-3964-4418-aaa4-eaa4498b0959
5ee19c5e-634b-4cec-8385-4859673adb70,Malta,809445a9-374c-4c69-80f7-5e000636d670
3a2da483-3fb5-4067-adc2-797addfad1eb,Palau,42ef87ad-3964-4418-aaa4-eaa4498b0959
2eb61559-d2f5-4241-8591-d0533eefc7e1,Guadeloupe,42ef87ad-3964-4418-aaa4-eaa4498b0959
3098ed60-8346-44e7-af4e-1b8a4906f5c8,Anguilla,3d57f658-7a4e-4845-81fb-b70459eaa9fa
1c4dc968-b077-4ca8-82b8-d3cb8a880a0f,Guatemala,809445a9-374c-4c69-80f7-5e000636d670
d9265b5f-94de-45e7-b09e-c9ab65506dcd,United States of America,3d57f658-7a4e-4845-81fb-b70459eaa9fa
f7d0c6fc-8cdf-4551-a8b8-0e58ceddc214,Uruguay,42ef87ad-3964-4418-aaa4-eaa4498b0959
ab196884-8bab-4d86-ab14-0fd7b27db896,Bhutan,42ef87ad-3964-4418-aaa4-eaa4498b0959
db049bcd-f09f-4c81-b45b-04afe0450fd5,Singapore,9d9ff55c-74dd-450b-a793-8e8162815afd
63ac9e4e-e9b4-4892-9b79-31dbc1a96553,Bouvet Island (Bouvetoya),3d57f658-7a4e-4845-81fb-b70459eaa9fa
35c8b81a-4468-4632-a511-3bb7e93f5d8e,Yemen,42ef87ad-3964-4418-aaa4-eaa4498b0959
18a44527-373a-4b50-a1ac-6541f76ae297,Uzbekistan,42ef87ad-3964-4418-aaa4-eaa4498b0959
93f4ae16-1df6-4746-baa1-e4bffdbaf089,Morocco,42ef87ad-3964-4418-aaa4-eaa4498b0959